Beta1,Solidity,ID,LER/Chord,TER/Chord,Tmax/C,65_Camber,Dum,MCL B1*-AlphaChord,Camber_MCL,LE_Wedge_Angle,TE_Wedge_Angle,O_q_Tau,TE_O_q_Min_O,Attack_Angle,Turning,Ave_Min_Loss
60,0.75,65-406 1% TER,0.0024,0.01,0.06,4,,4.6,9.5,13.4,5.3,0.492,1,-1,1,0.008
60,1,65-406 1% TER,0.0024,0.01,0.06,4,,4.6,9.5,13.4,5.3,0.448,1.027,-1.5,0.5,0.009
60,1.5,65-406 1% TER,0.0024,0.01,0.06,4,,4.6,9.5,13.4,5.3,0.471,1.11,3.5,6,0.009
60,2,65-406 1% TER,0.0024,0.01,0.06,4,,4.6,9.5,13.4,5.3,0.382,1.22,0,2.5,0.011
60,0.5,65-410,0.0067,0.0015,0.1,4,,4.6,9.5,22.8,15.6,0.618,1.001,0,0,0.01
60,0.75,65-806 1% TER,0.0024,0.01,0.06,8,,9.2,19,13.4,5.2,0.515,1.004,1,4.5,0.01
60,1,65-806 1% TER,0.0024,0.01,0.06,8,,9.2,19,13.4,5.2,0.509,1.084,4,8,0.011
60,1.5,65-806 1% TER,0.0024,0.01,0.06,8,,9.2,19,13.4,5.2,0.463,1.242,5,10,0.01
60,1.5,65-810,0.0067,0.0015,0.1,8,,9.2,19,22.8,15.4,0.443,1.306,6,9,0.011
60,1,65-(12)06,0.0024,0.0015,0.06,12,,13.8,28.4,13.3,9.8,0.543,1.172,8,14,0.0105
60,1.5,65-(12)06,0.0024,0.0015,0.06,12,,13.8,28.4,13.3,9.8,0.498,1.402,10,17.5,0.012
60,0.75,65-(12)06 1% TER,0.0024,0.01,0.06,12,,13.8,28.4,13.4,5.2,0.564,1.018,5.5,10,0.012
60,1,65-(12)06 1% TER,0.0024,0.01,0.06,12,,13.8,28.4,13.4,5.2,0.536,1.149,7.5,13.5,0.01
60,1.5,65-(12)06 1% TER,0.0024,0.01,0.06,12,,13.8,28.4,13.4,5.2,0.485,1.369,9,16.5,0.01
60,1,65-(12)08,0.0043,0.0015,0.08,12,,13.8,28.4,17.9,12.8,0.519,1.171,6.5,12,0.0135
60,1.5,65-(12)08,0.0043,0.0015,0.08,12,,13.8,28.4,17.9,12.8,0.482,1.418,10,17,0.013
60,0.75,65-(12)10,0.0067,0.0015,0.1,12,,13.9,28.4,22.5,15.3,0.55,1.022,4,8.5,0.0145
60,1,65-(12)10,0.0067,0.0015,0.1,12,,13.9,28.4,22.5,15.3,0.502,1.165,5.5,11,0.015
60,1,65-(12)10,0.0067,0.0015,0.1,12,,13.9,28.4,22.5,15.3,0.502,1.165,5.5,10.5,0.0145
60,1.25,65-(12)10,0.0067,0.0015,0.1,12,,13.9,28.4,22.5,15.3,0.494,1.307,9,14,0.012
60,1.5,65-(12)10,0.0067,0.0015,0.1,12,,13.9,28.4,22.5,15.3,0.478,1.428,11,17,0.014
60,1.5,65-(12)10,0.0067,0.0015,0.1,12,,13.9,28.4,22.5,15.3,0.482,1.423,11.5,17,0.014
60,1,65-(12)10 1% TER,0.0067,0.01,0.1,12,,13.7,28.3,22.7,11.5,0.492,1.171,5,9.5,0.0145
60,1,65-(12)10 2% TER,0.0067,0.02,0.1,12,,13.4,27.5,22.7,7.8,0.488,1.177,5,9.5,0.0155
60,1,65-(12)12,0.01,0.0015,0.12,12,,13.8,28.4,27.2,18.7,0.499,1.173,6,11,0.0155
60,1.5,65-(12)12,0.01,0.0015,0.12,12,,13.8,28.4,27.2,18.7,0.473,1.438,12,17.5,0.0145
60,1.5,65-(12)15,0.0151,0.0015,0.15,12,,13.6,28.2,33.8,22.7,0.423,1.49,10,12.5,0.017
60,1,65-(15)10,0.0067,0.0015,0.1,15,,17.1,35.3,22.7,13.4,0.524,1.22,8.5,15.5,0.016
60,1.5,65-(15)10,0.0067,0.0015,0.1,15,,17.1,35.3,22.7,13.4,0.506,1.5,15,23,0.0155
60,0.5,65-(18)10,0.0067,0.0015,0.1,18,,20.5,42.2,22.6,14.7,0.655,1.002,5,9,0.0225
60,0.75,65-(18)10,0.0067,0.0015,0.1,18,,20.5,42.2,22.6,14.7,0.569,1.059,9,16,0.016
60,1,65-(18)10,0.0067,0.0015,0.1,18,,20.5,42.2,22.6,14.7,0.525,1.278,10,17.5,0.0145
60,1.25,65-(18)10,0.0067,0.0015,0.1,18,,20.5,42.2,22.6,14.7,0.525,1.459,15,23.5,0.014
60,1.5,65-(18)10,0.0067,0.0015,0.1,18,,20.5,42.2,22.6,14.7,0.505,1.603,17,26.5,0.0165
60,1,65-(21)10,0.0067,0.0015,0.1,21,,23.8,48.9,22.4,14.4,0.542,1.335,13,20.5,0.0225
60,1.5,65-(24)10,0.0067,0.0015,0.1,24,,27.1,55.5,22.3,14.1,0.528,1.758,23,36,0.025
