Beta1,Solidity,ID,LER/Chord,TER/Chord,Tmax/C,65_Camber,Dum,MCL B1*-AlphaChord,Camber_MCL,LE_Wedge_Angle,TE_Wedge_Angle,O_q_Tau,TE_O_q_Min_O,Attack_Angle,Turning,Ave_Min_Loss
60,0.75,65-406 1% TER,0.0024,0.01,0.06,4,,4.6,9.5,13.4,5.3,0.492,1,-1,1,0.008
60,1,65-406 1% TER,0.0024,0.01,0.06,4,,4.6,9.5,13.4,5.3,0.448,1.027,-1.5,0.5,0.009
60,1.5,65-406 1% TER,0.0024,0.01,0.06,4,,4.6,9.5,13.4,5.3,0.471,1.11,3.5,6,0.009
60,2,65-406 1% TER,0.0024,0.01,0.06,4,,4.6,9.5,13.4,5.3,0.382,1.22,0,2.5,0.011
70,0.75,65-406 1% TER,0.0024,0.01,0.06,4,,4.6,9.5,13.4,5.3,0.369,1.001,-1.5,0.5,0.009
70,1,65-406 1% TER,0.0024,0.01,0.06,4,,4.6,9.5,13.4,5.3,0.303,1.016,-1,0,0.009
70,1.5,65-406 1% TER,0.0024,0.01,0.06,4,,4.6,9.5,13.4,5.3,0.323,1.145,3.5,5,0.009
70,2,65-406 1% TER,0.0024,0.01,0.06,4,,4.6,9.5,13.4,5.3,0.26,1.319,2,2,0.01
,,,,,,,,,,,,,,,,
30,1,65-410,0.0067,0.0015,0.1,4,,4.6,9.5,22.8,15.6,0.756,1.072,-3,0,0.013
30,1.25,65-410,0.0067,0.0015,0.1,4,,4.6,9.5,22.8,15.6,0.7226,1.115,-3,0,0.013
30,1.5,65-410,0.0067,0.0015,0.1,4,,4.6,9.5,22.8,15.6,0.688,1.163,-4,-1.5,0.014
45,1.5,65-410,0.0067,0.0015,0.1,4,,4.6,9.5,22.8,15.6,0.564,1.162,-1,2,0.0115
60,0.5,65-410,0.0067,0.0015,0.1,4,,4.6,9.5,22.8,15.6,0.618,1.001,0,0,0.01
70,1,65-410,0.0067,0.0015,0.1,4,,4.6,9.5,22.8,15.6,0.281,1.012,-2.5,-2,0.011
70,1.5,65-410,0.0067,0.0015,0.1,4,,4.6,9.5,22.8,15.6,0.26,1.249,1.5,0.5,0.0105
,,,,,,,,,,,,,,,,
60,0.75,65-806 1% TER,0.0024,0.01,0.06,8,,9.2,19,13.4,5.2,0.515,1.004,1,4.5,0.01
60,1,65-806 1% TER,0.0024,0.01,0.06,8,,9.2,19,13.4,5.2,0.509,1.084,4,8,0.011
60,1.5,65-806 1% TER,0.0024,0.01,0.06,8,,9.2,19,13.4,5.2,0.463,1.242,5,10,0.01
70,0.75,65-806 1% TER,0.0024,0.01,0.06,8,,9.2,19,13.4,5.2,0.39,1,0.5,4,0.011
70,1,65-806 1% TER,0.0024,0.01,0.06,8,,9.2,19,13.4,5.2,0.39,1.075,5.5,9.5,0.009
70,1.5,65-806 1% TER,0.0024,0.01,0.06,8,,9.2,19,13.4,5.2,0.325,1.327,5.5,10,0.013
,,,,,,,,,,,,,,,,
30,1,65-810,0.0067,0.0015,0.1,8,,9.2,19,22.8,15.4,0.774,1.125,1,7,0.015
30,1.5,65-810,0.0067,0.0015,0.1,8,,9.2,19,22.8,15.4,0.719,1.228,1,7.5,0.015
45,1.5,65-810,0.0067,0.0015,0.1,8,,9.2,19,22.8,15.4,0.578,1.258,2,8,0.0155
60,1.5,65-810,0.0067,0.0015,0.1,8,,9.2,19,22.8,15.4,0.443,1.306,6,9,0.011
70,1,65-810,0.0067,0.0015,0.1,8,,9.2,19,22.8,15.4,0.334,1.07,1.5,4,0.013
70,1.25,65-810,0.0067,0.0015,0.1,8,,9.2,19,22.8,15.4,0.346,1.235,6,8,0.01
70,1.5,65-810,0.0067,0.0015,0.1,8,,9.2,19,22.8,15.4,0.317,1.394,7,8.5,0.0115
,,,,,,,,,,,,,,,,
45,1.5,65-(12)06,0.0024,0.0015,0.06,12,,13.8,28.4,13.3,9.8,0.686,1.294,11,21,0.012
60,1,65-(12)06,0.0024,0.0015,0.06,12,,13.8,28.4,13.3,9.8,0.543,1.172,8,14,0.0105
60,1.5,65-(12)06,0.0024,0.0015,0.06,12,,13.8,28.4,13.3,9.8,0.498,1.402,10,17.5,0.012
,,,,,,,,,,,,,,,,
60,0.75,65-(12)06 1% TER,0.0024,0.01,0.06,12,,13.8,28.4,13.4,5.2,0.564,1.018,5.5,10,0.012
60,1,65-(12)06 1% TER,0.0024,0.01,0.06,12,,13.8,28.4,13.4,5.2,0.536,1.149,7.5,13.5,0.01
60,1.5,65-(12)06 1% TER,0.0024,0.01,0.06,12,,13.8,28.4,13.4,5.2,0.485,1.369,9,16.5,0.01
70,0.75,65-(12)06 1% TER,0.0024,0.01,0.06,12,,13.8,28.4,13.4,5.2,0.423,1.002,3.5,7.5,0.01
70,1,65-(12)06 1% TER,0.0024,0.01,0.06,12,,13.8,28.4,13.4,5.2,0.385,1.126,6,9.5,0.011
70,1.5,65-(12)06 1% TER,0.0024,0.01,0.06,12,,13.8,28.4,13.4,5.2,0.375,1.46,11,17.5,0.011
,,,,,,,,,,,,,,,,
45,1.5,65-(12)08,0.0043,0.0015,0.08,12,,13.8,28.4,17.9,12.8,0.648,1.318,9,19.5,0.0135
60,1,65-(12)08,0.0043,0.0015,0.08,12,,13.8,28.4,17.9,12.8,0.519,1.171,6.5,12,0.0135
60,1.5,65-(12)08,0.0043,0.0015,0.08,12,,13.8,28.4,17.9,12.8,0.482,1.418,10,17,0.013
,,,,,,,,,,,,,,,,
30,1,65-(12)10,0.0067,0.0015,0.1,12,,13.9,28.4,22.5,15.3,0.794,1.177,6,14.5,0.015
30,1.25,65-(12)10,0.0067,0.0015,0.1,12,,13.9,28.4,22.5,15.3,0.768,1.232,7.5,17.5,0.0155
30,1.5,65-(12)10,0.0067,0.0015,0.1,12,,13.9,28.4,22.5,15.3,0.755,1.282,7.5,18,0.016
45,0.5,65-(12)10,0.0067,0.0015,0.1,12,,13.9,28.4,22.5,15.3,0.755,1.008,3,7,0.015
45,0.75,65-(12)10,0.0067,0.0015,0.1,12,,13.9,28.4,22.5,15.3,0.694,1.079,3.5,8.5,0.015
45,1,65-(12)10,0.0067,0.0015,0.1,12,,13.9,28.4,22.5,15.3,0.658,1.182,5,12.5,0.015
45,1.25,65-(12)10,0.0067,0.0015,0.1,12,,13.9,28.4,22.5,15.3,0.639,1.267,7,15,0.015
45,1.5,65-(12)10,0.0067,0.0015,0.1,12,,13.9,28.4,22.5,15.3,0.614,1.344,7.5,16.5,0.015
45,1.5,65-(12)10,0.0067,0.0015,0.1,12,,13.9,28.4,22.5,15.3,0.62,1.341,8,17,0.014
60,0.75,65-(12)10,0.0067,0.0015,0.1,12,,13.9,28.4,22.5,15.3,0.55,1.022,4,8.5,0.0145
60,1,65-(12)10,0.0067,0.0015,0.1,12,,13.9,28.4,22.5,15.3,0.502,1.165,5.5,11,0.015
60,1,65-(12)10,0.0067,0.0015,0.1,12,,13.9,28.4,22.5,15.3,0.502,1.165,5.5,10.5,0.0145
60,1.25,65-(12)10,0.0067,0.0015,0.1,12,,13.9,28.4,22.5,15.3,0.494,1.307,9,14,0.012
60,1.5,65-(12)10,0.0067,0.0015,0.1,12,,13.9,28.4,22.5,15.3,0.478,1.428,11,17,0.014
60,1.5,65-(12)10,0.0067,0.0015,0.1,12,,13.9,28.4,22.5,15.3,0.482,1.423,11.5,17,0.014
70,1,65-(12)10,0.0067,0.0015,0.1,12,,13.9,28.4,22.5,15.3,0.363,1.14,4.5,7.5,0.015
70,1.25,65-(12)10,0.0067,0.0015,0.1,12,,13.9,28.4,22.5,15.3,0.364,1.368,9,12.5,0.013
70,1.5,65-(12)10,0.0067,0.0015,0.1,12,,13.9,28.4,22.5,15.3,0.338,1.566,10.5,13,0.012
,,,,,,,,,,,,,,,,
45,1.5,65-(12)10 1% TER,0.0067,0.01,0.1,12,,13.7,28.3,22.7,11.5,0.604,1.348,6.5,15,0.014
60,1,65-(12)10 1% TER,0.0067,0.01,0.1,12,,13.7,28.3,22.7,11.5,0.492,1.171,5,9.5,0.0145
,,,,,,,,,,,,,,,,
45,1.5,65-(12)10 2% TER,0.0067,0.02,0.1,12,,13.4,27.5,22.7,7.8,0.62,1.333,8,16,0.0155
60,1,65-(12)10 2% TER,0.0067,0.02,0.1,12,,13.4,27.5,22.7,7.8,0.488,1.177,5,9.5,0.0155
,,,,,,,,,,,,,,,,
45,1.5,65-(12)12,0.01,0.0015,0.12,12,,13.8,28.4,27.2,18.7,0.606,1.36,8.5,16.5,0.0165
60,1,65-(12)12,0.01,0.0015,0.12,12,,13.8,28.4,27.2,18.7,0.499,1.173,6,11,0.0155
60,1.5,65-(12)12,0.01,0.0015,0.12,12,,13.8,28.4,27.2,18.7,0.473,1.438,12,17.5,0.0145
,,,,,,,,,,,,,,,,
45,1.5,65-(12)15,0.0151,0.0015,0.15,12,,13.6,28.2,33.8,22.7,0.569,1.402,8,14.5,0.018
60,1.5,65-(12)15,0.0151,0.0015,0.15,12,,13.6,28.2,33.8,22.7,0.423,1.49,10,12.5,0.017
,,,,,,,,,,,,,,,,
30,1,65-(15)10,0.0067,0.0015,0.1,15,,17.1,35.3,22.7,13.4,0.79,1.218,7.5,19.5,0.014
30,1.5,65-(15)10,0.0067,0.0015,0.1,15,,17.1,35.3,22.7,13.4,0.77,1.296,11.5,24.5,0.017
45,1,65-(15)10,0.0067,0.0015,0.1,15,,17.1,35.3,22.7,13.4,0.685,1.233,9.5,19.5,0.014
45,1.5,65-(15)10,0.0067,0.0015,0.1,15,,17.1,35.3,22.7,13.4,0.64,1.404,12,24,0.017
60,1,65-(15)10,0.0067,0.0015,0.1,15,,17.1,35.3,22.7,13.4,0.524,1.22,8.5,15.5,0.016
60,1.5,65-(15)10,0.0067,0.0015,0.1,15,,17.1,35.3,22.7,13.4,0.506,1.5,15,23,0.0155
70,1,65-(15)10,0.0067,0.0015,0.1,15,,17.1,35.3,22.7,13.4,0.405,1.196,8.5,12.5,0.015
70,1.5,65-(15)10,0.0067,0.0015,0.1,15,,17.1,35.3,22.7,13.4,0.357,1.682,13.5,16,0.016
,,,,,,,,,,,,,,,,
30,1,65-(18)10,0.0067,0.0015,0.1,18,,20.5,42.2,22.6,14.7,0.803,1.244,11.5,25,0.016
30,1.25,65-(18)10,0.0067,0.0015,0.1,18,,20.5,42.2,22.6,14.7,0.783,1.275,12.5,27,0.0155
30,1.5,65-(18)10,0.0067,0.0015,0.1,18,,20.5,42.2,22.6,14.7,0.759,1.316,12.5,28.5,0.017
45,0.5,65-(18)10,0.0067,0.0015,0.1,18,,20.5,42.2,22.6,14.7,0.77,1.028,6.5,12.5,0.014
45,0.75,65-(18)10,0.0067,0.0015,0.1,18,,20.5,42.2,22.6,14.7,0.729,1.154,10.5,20,0.019
45,1,65-(18)10,0.0067,0.0015,0.1,18,,20.5,42.2,22.6,14.7,0.669,1.285,9.5,20,0.0135
45,1.25,65-(18)10,0.0067,0.0015,0.1,18,,20.5,42.2,22.6,14.7,0.679,1.375,15,27.5,0.016
45,1.5,65-(18)10,0.0067,0.0015,0.1,18,,20.5,42.2,22.6,14.7,0.658,1.458,16,31,0.0175
60,0.5,65-(18)10,0.0067,0.0015,0.1,18,,20.5,42.2,22.6,14.7,0.655,1.002,5,9,0.0225
60,0.75,65-(18)10,0.0067,0.0015,0.1,18,,20.5,42.2,22.6,14.7,0.569,1.059,9,16,0.016
60,1,65-(18)10,0.0067,0.0015,0.1,18,,20.5,42.2,22.6,14.7,0.525,1.278,10,17.5,0.0145
60,1.25,65-(18)10,0.0067,0.0015,0.1,18,,20.5,42.2,22.6,14.7,0.525,1.459,15,23.5,0.014
60,1.5,65-(18)10,0.0067,0.0015,0.1,18,,20.5,42.2,22.6,14.7,0.505,1.603,17,26.5,0.0165
,,,,,,,,,,,,,,,,
45,1,65-(21)10,0.0067,0.0015,0.1,21,,23.8,48.9,22.4,14.4,0.704,1.33,15.5,29,0.0165
