Beta1,Solidity,ID,LER/Chord,TER/Chord,Tmax/C,65_Camber,Dum,MCL B1*-AlphaChord,Camber_MCL,LE_Wedge_Angle,TE_Wedge_Angle,O_q_Tau,TE_O_q_Min_O
60,0.75,65-406 1% TER,0.0024,0.01,0.06,4,,4.6,9.5,13.4,5.3,0.492,1
60,1,65-406 1% TER,0.0024,0.01,0.06,4,,4.6,9.5,13.4,5.3,0.448,1.027
60,1.5,65-406 1% TER,0.0024,0.01,0.06,4,,4.6,9.5,13.4,5.3,0.471,1.11
60,2,65-406 1% TER,0.0024,0.01,0.06,4,,4.6,9.5,13.4,5.3,0.382,1.22
70,0.75,65-406 1% TER,0.0024,0.01,0.06,4,,4.6,9.5,13.4,5.3,0.369,1.001
70,1,65-406 1% TER,0.0024,0.01,0.06,4,,4.6,9.5,13.4,5.3,0.303,1.016
70,1.5,65-406 1% TER,0.0024,0.01,0.06,4,,4.6,9.5,13.4,5.3,0.323,1.145
70,2,65-406 1% TER,0.0024,0.01,0.06,4,,4.6,9.5,13.4,5.3,0.26,1.319
,,,,,,,,,,,,,
30,1,65-410,0.0067,0.0015,0.1,4,,4.6,9.5,22.8,15.6,0.756,1.072
30,1.25,65-410,0.0067,0.0015,0.1,4,,4.6,9.5,22.8,15.6,0.7226,1.115
30,1.5,65-410,0.0067,0.0015,0.1,4,,4.6,9.5,22.8,15.6,0.688,1.163
45,1.5,65-410,0.0067,0.0015,0.1,4,,4.6,9.5,22.8,15.6,0.564,1.162
60,0.5,65-410,0.0067,0.0015,0.1,4,,4.6,9.5,22.8,15.6,0.618,1.001
70,1,65-410,0.0067,0.0015,0.1,4,,4.6,9.5,22.8,15.6,0.281,1.012
70,1.5,65-410,0.0067,0.0015,0.1,4,,4.6,9.5,22.8,15.6,0.26,1.249
,,,,,,,,,,,,,
60,0.75,65-806 1% TER,0.0024,0.01,0.06,8,,9.2,19,13.4,5.2,0.515,1.004
60,1,65-806 1% TER,0.0024,0.01,0.06,8,,9.2,19,13.4,5.2,0.509,1.084
60,1.5,65-806 1% TER,0.0024,0.01,0.06,8,,9.2,19,13.4,5.2,0.463,1.242
