Beta1,Solidity,ID,LER/Chord,TER/Chord,Tmax/C,65_Camber,Dum,MCL B1*-AlphaChord,Camber_MCL,LE_Wedge_Angle,TE_Wedge_Angle,O_q_Tau,TE_O_q_Min_O,Attack_Angle,Turning,Ave_Min_Loss
60,1,65-406 1% TER,0.0024,0.01,0.06,4,,4.6,9.5,13.4,5.3,0.448,1.027,-1.5,0.5,0.009
70,1,65-406 1% TER,0.0024,0.01,0.06,4,,4.6,9.5,13.4,5.3,0.303,1.016,-1,0,0.009
30,1,65-410,0.0067,0.0015,0.1,4,,4.6,9.5,22.8,15.6,0.756,1.072,-3,0,0.013
70,1,65-410,0.0067,0.0015,0.1,4,,4.6,9.5,22.8,15.6,0.281,1.012,-2.5,-2,0.011
60,1,65-806 1% TER,0.0024,0.01,0.06,8,,9.2,19,13.4,5.2,0.509,1.084,4,8,0.011
70,1,65-806 1% TER,0.0024,0.01,0.06,8,,9.2,19,13.4,5.2,0.39,1.075,5.5,9.5,0.009
30,1,65-810,0.0067,0.0015,0.1,8,,9.2,19,22.8,15.4,0.774,1.125,1,7,0.015
70,1,65-810,0.0067,0.0015,0.1,8,,9.2,19,22.8,15.4,0.334,1.07,1.5,4,0.013
60,1,65-(12)06,0.0024,0.0015,0.06,12,,13.8,28.4,13.3,9.8,0.543,1.172,8,14,0.0105
60,1,65-(12)06 1% TER,0.0024,0.01,0.06,12,,13.8,28.4,13.4,5.2,0.536,1.149,7.5,13.5,0.01
70,1,65-(12)06 1% TER,0.0024,0.01,0.06,12,,13.8,28.4,13.4,5.2,0.385,1.126,6,9.5,0.011
60,1,65-(12)08,0.0043,0.0015,0.08,12,,13.8,28.4,17.9,12.8,0.519,1.171,6.5,12,0.0135
30,1,65-(12)10,0.0067,0.0015,0.1,12,,13.9,28.4,22.5,15.3,0.794,1.177,6,14.5,0.015
45,1,65-(12)10,0.0067,0.0015,0.1,12,,13.9,28.4,22.5,15.3,0.658,1.182,5,12.5,0.015
60,1,65-(12)10,0.0067,0.0015,0.1,12,,13.9,28.4,22.5,15.3,0.502,1.165,5.5,11,0.015
60,1,65-(12)10,0.0067,0.0015,0.1,12,,13.9,28.4,22.5,15.3,0.502,1.165,5.5,10.5,0.0145
70,1,65-(12)10,0.0067,0.0015,0.1,12,,13.9,28.4,22.5,15.3,0.363,1.14,4.5,7.5,0.015
60,1,65-(12)10 1% TER,0.0067,0.01,0.1,12,,13.7,28.3,22.7,11.5,0.492,1.171,5,9.5,0.0145
60,1,65-(12)10 2% TER,0.0067,0.02,0.1,12,,13.4,27.5,22.7,7.8,0.488,1.177,5,9.5,0.0155
60,1,65-(12)12,0.01,0.0015,0.12,12,,13.8,28.4,27.2,18.7,0.499,1.173,6,11,0.0155
30,1,65-(15)10,0.0067,0.0015,0.1,15,,17.1,35.3,22.7,13.4,0.79,1.218,7.5,19.5,0.014
45,1,65-(15)10,0.0067,0.0015,0.1,15,,17.1,35.3,22.7,13.4,0.685,1.233,9.5,19.5,0.014
60,1,65-(15)10,0.0067,0.0015,0.1,15,,17.1,35.3,22.7,13.4,0.524,1.22,8.5,15.5,0.016
70,1,65-(15)10,0.0067,0.0015,0.1,15,,17.1,35.3,22.7,13.4,0.405,1.196,8.5,12.5,0.015
30,1,65-(18)10,0.0067,0.0015,0.1,18,,20.5,42.2,22.6,14.7,0.803,1.244,11.5,25,0.016
45,1,65-(18)10,0.0067,0.0015,0.1,18,,20.5,42.2,22.6,14.7,0.669,1.285,9.5,20,0.0135
60,1,65-(18)10,0.0067,0.0015,0.1,18,,20.5,42.2,22.6,14.7,0.525,1.278,10,17.5,0.0145
45,1,65-(21)10,0.0067,0.0015,0.1,21,,23.8,48.9,22.4,14.4,0.704,1.33,15.5,29,0.0165
60,1,65-(21)10,0.0067,0.0015,0.1,21,,23.8,48.9,22.4,14.4,0.542,1.335,13,20.5,0.0225
45,1,65-(24)10,0.0067,0.0015,0.1,24,,27.1,55.5,22.3,14.1,0.708,1.377,18,33.5,0.0165
