Beta1,Solidity,ID,LER/Chord,TER/Chord,Tmax/C,65_Camber,Dum,MCL B1*-AlphaChord,Camber_MCL,LE_Wedge_Angle,TE_Wedge_Angle,O_q_Tau,TE_O_q_Min_O,Attack_Angle,Turning,Ave_Min_Loss
60,0.75,65-406 1% TER,0.0024,0.01,0.06,4,,4.6,9.5,13.4,5.3,0.492,1,-1,1,0.008
60,1,65-406 1% TER,0.0024,0.01,0.06,4,,4.6,9.5,13.4,5.3,0.448,1.027,-1.5,0.5,0.009
60,1.5,65-406 1% TER,0.0024,0.01,0.06,4,,4.6,9.5,13.4,5.3,0.471,1.11,3.5,6,0.009
60,2,65-406 1% TER,0.0024,0.01,0.06,4,,4.6,9.5,13.4,5.3,0.382,1.22,0,2.5,0.011
70,0.75,65-406 1% TER,0.0024,0.01,0.06,4,,4.6,9.5,13.4,5.3,0.369,1.001,-1.5,0.5,0.009
70,1,65-406 1% TER,0.0024,0.01,0.06,4,,4.6,9.5,13.4,5.3,0.303,1.016,-1,0,0.009
70,1.5,65-406 1% TER,0.0024,0.01,0.06,4,,4.6,9.5,13.4,5.3,0.323,1.145,3.5,5,0.009
70,2,65-406 1% TER,0.0024,0.01,0.06,4,,4.6,9.5,13.4,5.3,0.26,1.319,2,2,0.01
60,0.75,65-806 1% TER,0.0024,0.01,0.06,8,,9.2,19,13.4,5.2,0.515,1.004,1,4.5,0.01
60,1,65-806 1% TER,0.0024,0.01,0.06,8,,9.2,19,13.4,5.2,0.509,1.084,4,8,0.011
60,1.5,65-806 1% TER,0.0024,0.01,0.06,8,,9.2,19,13.4,5.2,0.463,1.242,5,10,0.01
70,0.75,65-806 1% TER,0.0024,0.01,0.06,8,,9.2,19,13.4,5.2,0.39,1,0.5,4,0.011
70,1,65-806 1% TER,0.0024,0.01,0.06,8,,9.2,19,13.4,5.2,0.39,1.075,5.5,9.5,0.009
70,1.5,65-806 1% TER,0.0024,0.01,0.06,8,,9.2,19,13.4,5.2,0.325,1.327,5.5,10,0.013
45,1.5,65-(12)06,0.0024,0.0015,0.06,12,,13.8,28.4,13.3,9.8,0.686,1.294,11,21,0.012
60,1,65-(12)06,0.0024,0.0015,0.06,12,,13.8,28.4,13.3,9.8,0.543,1.172,8,14,0.0105
60,1.5,65-(12)06,0.0024,0.0015,0.06,12,,13.8,28.4,13.3,9.8,0.498,1.402,10,17.5,0.012
60,0.75,65-(12)06 1% TER,0.0024,0.01,0.06,12,,13.8,28.4,13.4,5.2,0.564,1.018,5.5,10,0.012
60,1,65-(12)06 1% TER,0.0024,0.01,0.06,12,,13.8,28.4,13.4,5.2,0.536,1.149,7.5,13.5,0.01
60,1.5,65-(12)06 1% TER,0.0024,0.01,0.06,12,,13.8,28.4,13.4,5.2,0.485,1.369,9,16.5,0.01
70,0.75,65-(12)06 1% TER,0.0024,0.01,0.06,12,,13.8,28.4,13.4,5.2,0.423,1.002,3.5,7.5,0.01
70,1,65-(12)06 1% TER,0.0024,0.01,0.06,12,,13.8,28.4,13.4,5.2,0.385,1.126,6,9.5,0.011
70,1.5,65-(12)06 1% TER,0.0024,0.01,0.06,12,,13.8,28.4,13.4,5.2,0.375,1.46,11,17.5,0.011
0,0.001,65-006,0.24%,0.01%,0.06,0,,0,0,13.4,9.1,1,1,-4,0,0.009
0,0.001,65-206,0.24%,0.01%,0.06,2,,2.3,4.7,13.4,9.1,1,1,-4.5,0,0.009
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
